Motor_Raw,MT6_Raw,Motor_Accum,MT6_Accum,Output_Accum,Progress_Perc
311.748,153.875,-974.883,-216.541,-64.713,0.7
308.320,153.084,-978.310,-217.332,-64.950,0.7
305.069,152.249,-981.562,-218.166,-65.199,0.7
301.553,151.392,-985.078,-219.023,-65.455,0.7
298.213,150.513,-988.418,-219.902,-65.718,0.7
294.697,149.722,-991.933,-220.693,-65.954,0.7
291.270,148.975,-995.361,-221.440,-66.178,0.7
287.842,148.206,-998.789,-222.209,-66.407,0.7
284.414,147.437,-1002.217,-222.978,-66.637,0.7
281.074,146.733,-1005.556,-223.682,-66.847,0.7
277.734,145.942,-1008.896,-224.473,-67.084,0.7
274.307,145.195,-1012.324,-225.220,-67.307,0.7
270.791,144.536,-1015.840,-225.879,-67.504,0.7
267.363,143.921,-1019.267,-226.494,-67.688,0.7
263.848,143.240,-1022.783,-227.175,-67.891,0.7
260.420,142.515,-1026.211,-227.900,-68.108,0.7
257.080,141.812,-1029.551,-228.603,-68.318,0.7
253.653,141.130,-1032.978,-229.285,-68.522,0.7
250.137,140.471,-1036.494,-229.944,-68.719,0.7
246.709,139.768,-1039.922,-230.647,-68.929,0.7
243.106,139.109,-1043.525,-231.306,-69.126,0.7
239.766,138.494,-1046.865,-231.921,-69.310,0.7
236.338,137.725,-1050.293,-232.690,-69.540,0.7
232.822,136.934,-1053.808,-233.481,-69.776,0.7
229.483,136.209,-1057.148,-234.206,-69.993,0.7
225.967,135.461,-1060.664,-234.954,-70.216,0.8
222.539,134.692,-1064.092,-235.723,-70.446,0.8
219.024,133.879,-1067.607,-236.536,-70.689,0.8
215.684,133.154,-1070.947,-237.261,-70.905,0.8
212.080,132.319,-1074.551,-238.096,-71.155,0.8
208.652,131.572,-1077.978,-238.843,-71.378,0.8
205.137,130.825,-1081.494,-239.590,-71.602,0.8
201.709,130.012,-1084.922,-240.403,-71.845,0.8
198.281,129.287,-1088.349,-241.128,-72.061,0.8
194.854,128.606,-1091.777,-241.809,-72.265,0.8
191.514,127.815,-1095.117,-242.600,-72.501,0.8
188.174,127.134,-1098.457,-243.281,-72.705,0.8
184.834,126.409,-1101.797,-244.006,-72.921,0.8
181.406,125.596,-1105.224,-244.819,-73.164,0.8
177.979,124.915,-1108.652,-245.500,-73.368,0.8
174.551,124.102,-1112.080,-246.313,-73.611,0.8
171.299,123.333,-1115.332,-247.082,-73.841,0.8
167.871,122.585,-1118.760,-247.830,-74.064,0.8
164.619,121.751,-1122.011,-248.664,-74.314,0.8
161.192,120.981,-1125.439,-249.434,-74.543,0.8
157.852,120.169,-1128.779,-250.247,-74.786,0.8
154.424,119.290,-1132.207,-251.125,-75.049,0.8
150.996,118.477,-1135.635,-251.938,-75.292,0.8
147.656,117.730,-1138.974,-252.686,-75.515,0.8
144.229,116.960,-1142.402,-253.455,-75.745,0.8
140.801,116.169,-1145.830,-254.246,-75.981,0.8
137.461,115.378,-1149.170,-255.037,-76.218,0.8
134.121,114.543,-1152.510,-255.872,-76.467,0.8
130.693,113.752,-1155.937,-256.663,-76.704,0.8
127.442,113.005,-1159.189,-257.410,-76.927,0.8
123.926,112.214,-1162.705,-258.201,-77.163,0.8
120.586,111.445,-1166.045,-258.970,-77.393,0.8
117.246,110.720,-1169.385,-259.695,-77.610,0.8
113.819,109.929,-1172.812,-260.486,-77.846,0.8
110.479,109.248,-1176.152,-261.167,-78.050,0.8
107.139,108.699,-1179.492,-261.716,-78.214,0.8
103.887,108.106,-1182.744,-262.309,-78.391,0.8
100.547,107.402,-1186.084,-263.013,-78.601,0.8
97.295,106.567,-1189.336,-263.848,-78.851,0.8
93.779,105.579,-1192.851,-264.836,-79.147,0.8
90.440,104.612,-1196.191,-265.803,-79.435,0.8
87.012,103.865,-1199.619,-266.550,-79.659,0.9
83.496,103.228,-1203.135,-267.187,-79.849,0.9
80.068,102.656,-1206.562,-267.759,-80.020,0.9
76.553,102.085,-1210.078,-268.330,-80.191,0.9
73.037,101.338,-1213.593,-269.077,-80.414,0.9
69.697,100.173,-1216.933,-270.242,-80.762,0.9
66.182,98.877,-1220.449,-271.538,-81.149,0.9
62.490,98.350,-1224.140,-272.065,-81.307,0.9
58.711,97.778,-1227.920,-272.637,-81.478,0.9
55.108,97.031,-1231.523,-273.384,-81.701,0.9
51.416,96.108,-1235.215,-274.307,-81.977,0.9
47.813,95.361,-1238.818,-275.054,-82.200,0.9
44.121,94.548,-1242.510,-275.867,-82.443,0.9
40.518,93.735,-1246.113,-276.680,-82.686,0.9
37.002,93.032,-1249.629,-277.383,-82.896,0.9
33.399,92.307,-1253.232,-278.108,-83.113,0.9
29.971,91.538,-1256.660,-278.877,-83.343,0.9
26.455,90.769,-1260.176,-279.646,-83.572,0.9
22.852,89.934,-1263.779,-280.481,-83.822,0.9
19.512,89.143,-1267.119,-281.272,-84.058,0.9
16.084,88.308,-1270.547,-282.107,-84.308,0.9
12.481,87.473,-1274.150,-282.942,-84.557,0.9
9.141,86.638,-1277.490,-283.777,-84.807,0.9
5.713,85.759,-1280.918,-284.656,-85.070,0.9
2.285,84.902,-1284.345,-285.513,-85.326,0.9
358.858,84.045,-1287.773,-286.370,-85.582,0.9
355.342,83.210,-1291.289,-287.205,-85.831,0.9
351.826,82.397,-1294.805,-288.018,-86.074,0.9
348.399,81.541,-1298.232,-288.874,-86.330,0.9
345.059,80.772,-1301.572,-289.643,-86.560,0.9
341.455,80.002,-1305.175,-290.413,-86.790,0.9
338.115,79.168,-1308.515,-291.247,-87.039,0.9
334.688,78.377,-1311.943,-292.039,-87.276,0.9
331.260,77.564,-1315.371,-292.851,-87.519,0.9
327.920,76.729,-1318.711,-293.686,-87.768,0.9
324.580,75.894,-1322.051,-294.521,-88.018,0.9
321.152,74.949,-1325.478,-295.466,-88.300,0.9
317.725,74.180,-1328.906,-296.235,-88.530,0.9
314.297,73.433,-1332.334,-296.982,-88.753,0.9
310.781,72.598,-1335.849,-297.817,-89.003,1.0
307.530,71.873,-1339.101,-298.542,-89.220,1.0
304.102,71.147,-1342.529,-299.268,-89.436,1.0
300.674,70.356,-1345.957,-300.059,-89.673,1.0
297.246,69.609,-1349.385,-300.806,-89.896,1.0
293.818,68.906,-1352.812,-301.509,-90.106,1.0
290.303,68.181,-1356.328,-302.234,-90.323,1.0
286.787,67.456,-1359.843,-302.959,-90.539,1.0
283.447,66.731,-1363.183,-303.684,-90.756,1.0
279.932,65.940,-1366.699,-304.475,-90.993,1.0
276.592,65.281,-1370.039,-305.134,-91.190,1.0
273.076,64.644,-1373.554,-305.771,-91.380,1.0
269.736,63.919,-1376.894,-306.497,-91.597,1.0
266.221,63.259,-1380.410,-307.156,-91.794,1.0
262.793,62.578,-1383.838,-307.837,-91.997,1.0
259.365,61.809,-1387.265,-308.606,-92.227,1.0
256.026,61.084,-1390.605,-309.331,-92.444,1.0
252.422,60.403,-1394.209,-310.012,-92.647,1.0
248.994,59.722,-1397.637,-310.693,-92.851,1.0
245.479,59.041,-1401.152,-311.374,-93.054,1.0
242.051,58.337,-1404.580,-312.078,-93.265,1.0
238.535,57.634,-1408.096,-312.781,-93.475,1.0
235.020,56.843,-1411.611,-313.572,-93.711,1.0
231.504,56.096,-1415.127,-314.319,-93.934,1.0
227.989,55.371,-1418.642,-315.044,-94.151,1.0
224.561,54.580,-1422.070,-315.835,-94.387,1.0
221.045,53.811,-1425.586,-316.604,-94.617,1.0
217.793,53.064,-1428.838,-317.351,-94.841,1.0
214.365,52.251,-1432.265,-318.164,-95.083,1.0
210.938,51.504,-1435.693,-318.911,-95.307,1.0
207.598,50.691,-1439.033,-319.724,-95.550,1.0
204.082,49.922,-1442.549,-320.493,-95.780,1.0
200.742,49.109,-1445.888,-321.306,-96.023,1.0
197.315,48.318,-1449.316,-322.097,-96.259,1.0
193.887,47.527,-1452.744,-322.888,-96.495,1.0
190.459,46.648,-1456.172,-323.767,-96.758,1.0
187.295,45.835,-1459.336,-324.580,-97.001,1.0
183.867,45.044,-1462.764,-325.371,-97.237,1.0
180.440,44.253,-1466.191,-326.162,-97.474,1.0
177.012,43.374,-1469.619,-327.041,-97.736,1.0
173.672,42.561,-1472.959,-327.854,-97.979,1.0
170.244,41.792,-1476.386,-328.623,-98.209,1.0
